Id;anno;Abstract
1;1967;Beginning with a sample of 497 Ss, multiple criteria of religiosity were applied to obtain a truly religious group of 210 Ss. Utilizing a factorially stable measure of prejudice, extreme religious-prejudiced (29 Ss) and religious-unprejudiced (32 Ss)groups were formed. Committed and Consensual religious orientations were then hypothesized on the basis of five cognitive perspectives which were operationally derived from interviews. Strong correspondence was demonstrated between prejudice and Consensual religion and between absence of prejudice and Committed faith. Many additional distinctions in social and religious outlooks were also evidenced, thus clarifying further the nature of religion-prejudice relationships.
2;1967;"Disagreements over definitions and consequent difficulties in precise measurement have obscured the study of the relationships among pluralism, religion, and secularism. But the importance of those relationships requires that we attempt to explore them. An emphasis on pluralism, it is suggested, supports religious freedom and tolerance, but it may also support rigidity in religious traditions. Defense of separate religious communities may transfer questions of social integration to secular institutions that are at least potentially anti-religious; or it may promote anomie. Substantial amounts of secularism, so often defined as antithetical to religion, may actually be essential if religiously pluralistic societies are to escape high levels of conflict. Thus religiously heterogeneous societies are confronted with serious dilemmas. The numerous and subtle relationships among pluralism, religion, and secularism call for careful analysis."
3;1967;In both empirical research and interpretation today there is a total lack of agreement as to what secularization is and how to measure it. The present paper tries to bring the concept of secularization into focus by considering 1) the history of the term, 2) six types of usage today and their application in selected examples of research, 3) a critique of these forms of secularization concept as analytical tools, and 4) a critique of the secular-religious polarity. It is concluded that the term secularization, because of its polemical past, its extremely varied definitions, and its frequent use as a blanket term to cover several disparate processes, should either be abandoned or be explicitly recognized as a comprehensive term covering three complementary but distinct processes, desacralization, differentiation and transposition.
4;1967;Instances of political behavior which bear no rational relationship to maximizing a group's material and social self-interest may be explained as responses to subcultural factors. Religious groups in America, despite their generally high level of acculturation, still retain ethical and belief systems which influence basic conservative-liberal political orientations. The criteria used to distinguish sect from church seem to be of less importance in shaping political predispositions than beliefs centering around revealed dogma, salvation, impulse life, intellectualism vs. faith, and the nature of evil. The cultural belief systems of the various denominations operate as independent variables within the social structure.
5;1967;Members of the Baha'i World Faith consistently differed from Jews, Catholics, Protestants, and non-affiliates in the structure of religious behavior and its relation to personality. By factor analysis of 35 religious behaviors of 112 Baha'is, five facets or components of their total religious life were found: Cognitive, Experiential, Self-defining, Administrative, and Meditative. Evidence suggesting possible psychosocial functions of these components was considered. Strength on all five components at once--total, balanced religious activity--was found only in the Baha'i group. This unique Baha'i pattern in the religious realm was correlated with a personal orientation composed of World-minded, Spontaneous, and Adaptive behaviors, which was found only in the Baha'i group. A deviation from total religious participation is associated with disruption of the unique personality pattern, and vice versa. These findings are also discussed in terms of a concept of community.
6;1967;Mystic experiences have been classically associated with mountainous or desert places. The experiences of a hypnotized and a simulating subject are compared under suggestions which enhance and eliminate perceived depth, increase and decrease visual clarity, and under control conditions. These are in turn contrasted with the responses of a previously reported subject under these same conditions. Mystic experience seems associated with increased depth suggestions, schizophreniform experience with no depth. These effects are not produced by altering visual clarity. Mystic and schizophrenic states may be opposite to one another. The interaction of objects in the environment with space seems crucial in producing either.
7;1967;One hundred and sixty elementary school children were individually interviewed regarding their conception of prayer and the affects and fantasies associated with prayer activity. The prayer concept seemed to develop in three stages which were related to age. At the first stage (ages 5-7), children had a global conception of prayer in the sense that their comprehension of the term was both vague and fragmentary. Children at the second stage (ages 7-9) had a concrete differentiated conception of prayer and recognized that it involved verbal activity. At this stage, however, prayer was still an external activity, a routine form, rather than personal and internal. At the third stage (ages 9-12), children had an abstract prayer conception in the sense that it was regarded as an internal activity deriving from personal conviction and belief. Only at the third stage did prayer emerge as a true communication between the child and what he considered divine, between the I and the Thou. With increasing age, the content of prayer also changed from egocentric wish fulfillment (candy, toys, etc.) to altruistic moral and ethical desires (peace on earth, etc.). At the same time, affects associated with prayer activity became less impulsive and more modulated among the older children while prayer came to be a deeper and more satisfying experience. The fantasy activity associated with prayer changed from a belief that prayers were self-propelled missiles to the view that they were a form of direct communication with God. The results are discussed from the developmental point of view and the parallel between the development of prayer in the child and in Western civilization is pointed out.
8;1967;"Sociological aspects of missionary activity are analyzed via a review of relevant literature. Two major strategies are identified, one oriented mainly toward social systems and the other toward individuals; the strategies appear to be associated with variations in the parent institution and the congregation of converts. Missionary tactics relate in part to types of ""opinion change"" postulated social psychologically; tactics also are aimed at dealing with structural conflicts between native and foreign sociocultural systems. Receptivity to religious innovations is found to increase under conditions of disorganization, a finding which fits current theories of value-oriented social movements. Foreign churches often are rejected if their social organization is too dissimilar to native patterns; further, the indigenous social organization, especially the ranking and kinship systems, channels diffusion."
9;1967;The church-sect typology has come under increasing criticism as a tool for research in the sociology of religion. It is a problem which is inherent in the construction of and use of ideal types. Troeltsch's work is re-examined and it is argued that the central characteristics originally used were (1) a universalistic-particularistic thrust in the mission of the religious unit, and (2) an objective-subjective means to the attainment of Grace. These were correlated in cases Troeltsch considered, but may not be in others. This provides us with four possible categories for classification of church organizations, UO-US-PS-PO (although the last is so inherently inconsistent as to be an empty category).
10;1967;The concept of ecstasy has appeared in the writings of several important social theorists, for example Weber, Freud, and Mannheim. It is used to describe a mode of experience, very intense, probably of short duration, in which the person feels removed from himself and everyday life. The sociological problem is how this anti-institutional experience is in fact institutionalized by the social forms of religion, art, love, etc., all of which compete for control over the expression of ecstatic behavior. Individuals appear to require alternative kinds of experience to the struggles of everyday life. Ecstatic experience as a particularly highly-charged alternative which can be a powerful engine for social change. The struggle for control of ecstatic expression appears relatively tangential to the more mundane struggles for power.
11;1967;"The minister and members of a conservative church were administered Q-sorts consisting of 56 items assessing religious orientation. These items were derived from interviews with members of the congregation. Factor analysis provided three distinct orientations, or hypothetical types of persons. The authority-seeker wants the minister to ""lay it on the line"" and tell the congregation what it should and should not do. He wants bold and forcible criticism as well as strong guidance. The comfort-seeker is afraid of death and Hell, illness and old age, and the church helps him reduce his fears. It gives him peace of mind by its assurance of eternal life. The social participator enjoys the friendly social interaction and an opportunity to talk with others about matters of mutual interest. The church is a kind of social ""home"", where he can enjoy human companionship."
12;1967;"The null-hypothesis that ""religion"" is unidimensional was tested on a local sample of Methodists. Relevant literature was examined for possible dimensions. Eleven were found or constructed and 121 questionnaire items covering many aspects of individual belief and congregational involvement were selected as possible indicators. Factor and cluster analyses were used. Sixteen factors and twelve clusters of some interest were obtained. Agreements between the analyses led to the conclusions that: 1. For these data, the unidimensional view should be rejected; 2. Nine dimensions can be presented for further study, several of which are similar to some previously proposed in the literature."
13;1967;"The true mystic is one who seeks to reconstitute the fragmented elements of experience, not to arrive at a conceptual synthesis, but to replace normal consciousness with spiritual chaos. In this state the mystic is able to renew himself by regression to an undifferentiated state of consciousness, in which there is no longer self or ""other."" It is only by regression to the most archaic levels of religious feeling that one can penetrate the disguises of God, experiencing him as reality, and not as mythical hero or benign father-figure. In this sense, mysticism is different from the attitude of ritual devotion, which stubbornly refuses to repudiate its Adamic nature. The mystic dares to cast off his ego, and along with it, the expectations of others. In this way he replaces the tyranny of the self and of others by the absolute freedom of his surrender to holiness."
14;1967;This paper is a comparative study of three Pentecostal sects, two in Chile and one in Brazil. Opposing the traditional class system in which they rank low, the Pentecostal sects seek to shape their own structure after an egalitarian model in which all criteria of conventional ranking as practiced by the wider society are rejected. In reality, however, compromise with authoritarian principles seems rather common. Comparison of the three cases shows that the closer a sect comes to the egalitarian model the more its leaders feel the need to validate their authority by seeking supernatural sanctions for their decisions.
15;1967;Three basic problems with the church-sect dimension are raised: its definition, empirical correlates, and the association of its defining elements. The last question is examined in detail. Several elements presumed to be essential to a definition of church-sect are demonstrated to have no basis in fact. A re-examination of the concept is called for.
16;1967;What is the subject matter of the study of religion? Is it the external expression of religious persons and communities, i.e., the historical deposit of sacred scriptures, theologies, social institutions, ethical and liturgical prescriptions and practices? Accurate observation and description of these data and analysis to detect common structures are important and necessary. This is not, however, primary, since it excludes from its purview the personal meaning these external traditions possess for their participants. This objection suggests that enquiry should focus on the existential selfhood of individual communicants. Yet this, also, is unsatisfactory because it restricts study to the psychology of individuals. Research should concentrate, instead, on religious faith, i.e., existential selfhood or personal faith as this is evoked and expressed by an historical tradition. This entails discerning how items in a cumulative religious tradition enter into the believer's faith or selfhood by being existentially interpreted.
17;1967;"While mysticism and communism are not at all related at the practical level of Marxist political discussion and action, they show similarities at the level of their evaluation as cosmic philosophies. Dialectical materialism includes: (1) a rejection of mechanical materialism; (2) the affirmation that mental and spiritual qualities are irreducible to physics and chemistry; (3) the sense of the mystery of the world; (4) the Hegelian dialectic implying the unity and interconnection of all things as they are permeated by the One; (5) the fact that even Marx and Engels mentioned mystics among their precursors; (6) the appreciation of the evolutionary mysticism of Teilhard de Chardin by Marxists."
18;1968;A central technical problem in any historical sociological study of secularization has been the availability of quantifiable data of a kind at least somewhat comparable to those gathered by survey researchers. An effort is made here to determine the internal and external validity of the laity/clergy ratio as an indicator of secularization. The empirical focus is upon the Norwegian clergy between 1800 and 1950.
19;1968;"A longitudinal study of 96 graduates of the Dartmouth College class of 1940 raises the question, ""Do men who attend church regularly differ from men who do not?"" Although the group was homogeneous in many respects, certain striking differences emerge between the 59 church attenders and the 37 nonattenders. The nonattenders are reliably different in evincing greater creativeness. More nonattenders are in the professions. They are less likely to vote Republican than are the attenders. Significant differences are found in favor of nonattenders in the number of books read per year, and in their scores on the Scholastic Aptitude Test taken in the freshman year and on the Graduate Record Examination taken in the senior year. No significant differences were found between attenders and nonattenders on scales of self-development and value-energy. A measure of religious impulse is proposed. Only 16 per cent are considered to be animated by a religious impulse. Proportionately, just as many men among the nonattenders are religious as among the attenders. This group, whether attenders or nonattenders, have much in common in their personality structure."
20;1968;"A more or less exhaustive set of reasons for participating in religious activities was identified by respondents from a wide variety of religious denominations. These reasons were cast into a standard form and presented as a Q-sort to 100 undergraduates who rated each reason's ""importance to me."" A principal components inverse factor analysis yielded seven interpretable clusters of people (types): the humble servants of God; the self-improvers; the family guidance seekers; the moralists; the God-seekers; the socially-oriented servants of God; the religious eggheads. These clusters correspond to dimensions found in other studies. Degree of membership in clusters related meaningfully to personal, social and demographic variables."
21;1968;Explanations for the spread of a modern religious movement are sought within the dynamics of the movement itself. Five key factors are identified and functionally analysed: (1) an acephalous, reticulate organizational structure, (2) face-to-face recruitment along lines of pre-existing significant social relationships, (3) commitment generated through an act or experience, (4) change-oriented ideology, and (5) real or perceived opposition. It is suggested that these five factors are common in other types of movements and that when they are present and interacting, the conditions which were causal in the genesis of the movement become facilitating only and are not essential to its spread.
